kmeans_cluster,nelm_d1_deployment,nelm_d2_remittance,nelm_d3_extended_ratio,n_HH,share_Java,share_Batak,share_Minang
0,0.003839297956945015,0.0,0.03997987934639518,2431,0.807,0.098,0.095
1,0.05287968441814595,12.850992179575504,0.08439292984541852,845,0.872,0.046,0.082
2,0.9202635914332784,2.0783775968518214,0.01176224471117387,607,0.771,0.112,0.117
3,0.056276024923920955,0.0,0.48241688850828207,1616,0.811,0.097,0.093
4,0.06636561504160635,13.411911571032332,0.5286177688833897,1841,0.835,0.063,0.102
