hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban,kmeans_cluster,ward_cluster
1871331,2,2,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,,,,,1.0,33.0,8.0,1,0,3
1871400,8,6,1,3400000.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,0.1666666666666666,13.122365377402328,4,0.5,380169.0,12.848373800084204,47521.125,10.768950671050174,1.0,33.0,71.0,1,4,4
1871432,4,1,0,0.0,0.0,0.0,1.0,0.75,False,False,True,0.0,0.0,0,0.0,7242540.0,15.79548266963827,1810635.0,14.409188722737555,1.0,12.0,75.0,1,0,3
1871500,8,6,0,600000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,4,0.5,2445826.6666666665,14.709894137582278,305728.3333333333,12.6304554579152,1.0,33.0,71.0,1,3,0
1871600,6,6,0,1500000.0,300000.0,12.611541086966117,1.0,1.0,False,False,True,0.0,12.611541086966117,4,0.6666666666666666,11813226.666666666,16.28473045029778,1968871.111111111,14.492971404323988,1.0,33.0,71.0,1,4,4
1871700,6,6,0,2550000.0,3000000.0,14.914123179965662,1.0,1.0,False,False,True,0.0,14.914123179965662,4,0.6666666666666666,7518560.0,15.832885321232077,1253093.3333333333,14.041126517024672,1.0,33.0,71.0,1,4,4
1871751,3,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,3519965.0,15.073961888436722,1173321.6666666667,13.975350167955757,1.0,33.0,8.0,1,0,3
1871752,3,3,0,1000000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,1,0.3333333333333333,2655860.0,14.792279453871624,885286.6666666666,13.693667918254688,1.0,33.0,8.0,1,3,0
1871800,5,4,0,500000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,2,0.4,7680691.666666667,15.854220292029115,1536138.3333333335,14.244782900381242,1.0,33.0,71.0,1,3,0
1871900,5,3,0,1000000.0,2000000.0,14.508658238524095,1.0,1.0,False,False,True,0.0,14.508658238524095,1,0.2,3195116.6666666665,14.977134473493296,639023.3333333333,13.367697812968489,1.0,33.0,71.0,1,1,1
1871931,4,3,1,1500000.0,1600000.0,14.285514812209817,1.0,1.0,False,False,True,0.3333333333333333,14.285514812209817,1,0.25,7696544.666666667,15.85628217144761,1924136.1666666667,14.469988200112896,1.0,33.0,8.0,1,1,1
