hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban
0320500,16,11,3,300000.0,0.0,0.0,9.0,1.0,True,False,False,0.2727272727272727,0.0,9,0.5625,3623766.6666666665,15.103024834450455,226485.41666666666,12.330440251540326,2.0,13.0,7.0,0
0320542,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,3731728.3333333335,15.132382312417134,1243909.4444444445,14.03377055969343,1.0,14.0,73.0,1
0320543,4,1,1,0.0,0.0,0.0,9.0,1.0,True,False,False,1.0,0.0,0,0.0,2779265.0,14.837697422028107,694816.25,13.451404140329323,1.0,14.0,73.0,1
0320544,5,3,1,0.0,0.0,0.0,9.0,1.0,True,False,False,0.3333333333333333,0.0,1,0.2,4458021.666666667,15.310215877407323,891604.3333333334,13.700778862231605,1.0,13.0,77.0,1
0320600,9,6,2,200000.0,800000.0,13.592368256649284,9.0,1.0,True,False,False,0.3333333333333333,13.592368256649284,4,0.4444444444444444,2217636.6666666665,14.611953073162958,246404.07407407404,12.414732103262565,2.0,13.0,7.0,0
0320652,1,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,885732.6666666666,13.694171582441035,885732.6666666666,13.694171582441035,1.0,13.0,71.0,1
0320700,7,5,0,200000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,3,0.42857142857142855,567940.0,13.249772819068653,81134.28571428571,11.303873234435184,2.0,13.0,7.0,0
0320741,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,6461806.666666667,15.681419661176598,2153935.5555555555,14.582807682019354,1.0,14.0,73.0,1
0320800,11,9,0,3500000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,7,0.6363636363636364,13076851.666666666,16.386354253224777,1188804.696969697,13.988459745136115,2.0,13.0,7.0,0
0320831,2,0,0,0.0,0.0,0.0,9.0,1.0,True,False,False,,0.0,0,0.0,9888436.666666666,16.106876720105667,4944218.333333333,15.413729640673926,2.0,13.0,7.0,0
0320900,10,6,2,0.0,0.0,0.0,9.0,1.0,True,False,False,0.3333333333333333,0.0,4,0.4,3174390.0,14.97062636088722,317439.0,12.668044103078644,2.0,13.0,7.0,0
0320931,6,2,0,300000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,3960380.0,15.191850790723786,660063.3333333334,13.40009258399973,1.0,14.0,73.0,1
0320941,3,1,1,0.0,0.0,0.0,9.0,1.0,True,False,False,1.0,0.0,0,0.0,4256195.0,15.263886361574807,1418731.6666666667,14.165274542809758,1.0,14.0,73.0,1
0321100,7,7,1,1000000.0,600000.0,13.304686600863562,9.0,1.0,True,False,False,0.14285714285714285,13.304686600863562,5,0.7142857142857143,2769543.3333333335,14.834193364030128,395649.04761904763,12.888285381393828,1.0,14.0,8.0,1
0321141,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,13340342.666666666,16.406303360238855,4446780.888888889,15.30769122149191,1.0,14.0,8.0,1
0321142,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,1770870.0,14.386982073908719,590290.0,13.288370914627714,1.0,14.0,8.0,1
0321143,3,1,1,0.0,0.0,0.0,9.0,1.0,True,False,False,1.0,0.0,0,0.0,5059303.333333333,15.43673954828096,1686434.4444444443,14.338127654924037,1.0,14.0,8.0,1
0321151,3,1,1,200000.0,300000.0,12.611541086966115,9.0,1.0,True,False,False,1.0,12.611541086966115,0,0.0,5194659.666666667,15.463141861164877,1731553.2222222222,14.364529957507404,1.0,14.0,8.0,1
0321152,3,1,0,0.0,0.0,0.0,9.0,0.6666666666666666,True,False,True,0.0,0.0,0,0.0,2672550.0,14.798544004954634,890850.0,13.69993246463492,1.0,14.0,8.0,1
0321200,9,9,0,400000.0,12700000.0,16.357112630168974,9.0,1.0,True,False,False,0.0,16.357112630168974,7,0.7777777777777778,1476108.3333333333,14.20492035547328,164012.03703703702,12.00770119777512,2.0,13.0,7.0,0
0321212,4,2,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,2424263.3333333335,14.701038668630838,606065.8333333334,13.314745544998997,2.0,13.0,8.0,0
0321241,3,2,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,5416870.0,15.505028900437337,1805623.3333333333,14.406416980986,1.0,14.0,4.0,1
0321300,10,10,1,0.0,2500000.0,14.731801689838349,9.0,1.0,True,False,False,0.1,14.731801689838349,8,0.8,3375583.3333333335,15.032079003104963,337558.3333333334,12.729496576312414,2.0,13.0,7.0,0
0321342,4,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,12149050.0,16.312761617704435,3037262.5,14.926467503517383,1.0,32.0,1.0,1
0321400,11,8,2,3700000.0,1000000.0,13.815511557963774,9.0,1.0,True,False,False,0.25,13.815511557963774,6,0.5454545454545454,15144240.0,16.533130885637963,1376749.0909090908,14.135236273156387,1.0,14.0,8.0,1
0321441,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,3819266.6666666665,15.155569251907306,1273088.8888888888,14.056957486899659,1.0,14.0,8.0,1
0321442,4,1,0,300000.0,200000.0,12.206077645517674,9.0,1.0,True,False,False,0.0,12.206077645517674,0,0.0,5038210.0,15.432561616716766,1259552.5,14.046267851046155,1.0,14.0,8.0,1
0321443,3,1,0,0.0,0.0,0.0,98.0,0.6666666666666666,False,True,False,0.0,0.0,0,0.0,3238623.333333333,14.990659209127935,1079541.111111111,13.892047538005789,1.0,14.0,8.0,1
0321500,9,5,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,3,0.3333333333333333,4895325.0,15.403791430299131,543925.0,13.206568487173476,1.0,13.0,75.0,1
0321600,9,9,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,7,0.7777777777777778,,,,,2.0,13.0,7.0,0
0321631,1,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,5125926.666666667,15.449822074738833,5125926.666666667,15.449822074738833,2.0,13.0,7.0,0
0321651,3,2,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,2144533.3333333335,14.578432992758843,714844.4444444445,13.479821636693694,2.0,13.0,7.0,0
0321731,8,7,2,300000.0,4300000.0,15.274125813221904,9.0,1.0,True,False,False,0.2857142857142857,15.274125813221904,5,0.625,27462756.666666668,17.128341378122265,3432844.5833333335,15.048900091333039,1.0,13.0,74.0,1
0321800,1,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,222540.0,12.312866633275783,222540.0,12.312866633275783,2.0,13.0,7.0,0
0321900,6,5,1,0.0,6000000.0,15.607270193858982,9.0,1.0,True,False,False,0.2,15.607270193858982,3,0.5,2839606.6666666665,14.85917645505451,473267.77777777775,13.067418746631532,2.0,13.0,7.0,0
0321951,3,1,1,200000.0,0.0,0.0,9.0,1.0,True,False,False,1.0,0.0,0,0.0,4458852.5,15.310402228169679,1486284.1666666667,14.211790388047266,1.0,13.0,76.0,1
0322000,14,12,1,0.0,0.0,0.0,9.0,1.0,True,False,False,0.08333333333333333,0.0,10,0.7142857142857143,1676096.6666666667,14.331978831993784,119721.19047619049,11.692929258459715,2.0,13.0,7.0,0
0322011,3,2,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,4475396.666666667,15.314105769802506,1491798.888888889,14.215493928021958,2.0,13.0,7.0,0
0322041,3,3,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,1,0.3333333333333333,,,,,2.0,13.0,7.0,0
0322051,5,5,0,100000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,3,0.6,3531253.3333333335,15.077163701014777,706250.6666666667,13.46772692132201,2.0,13.0,7.0,0
