outcome_cluster,variable,coef,se,p_value,odds_ratio,sig
0,Intercept,-3.325438934285784,0.9460384120199087,0.0004395546359801474,0.03595673264638803,***
0,C(ethnic)[T.Batak],-0.4679347927609104,0.24437259434049677,0.055512716183244236,0.6262943612522427,
0,C(ethnic)[T.Minang],-0.22385043588940962,0.3308127916026169,0.49861661289459214,0.7994346921670735,
0,C(prov_cat)[T.13],0.47977886430930183,0.3817909441320183,0.20887919168005697,1.6157170699746544,
0,C(prov_cat)[T.32],0.7182954008436632,0.2376660541183712,0.002508712602338126,2.050934208571506,**
0,C(prov_cat)[T.33],0.8135980342669947,0.20920205232507835,0.00010063581391437665,2.2560106046488713,***
0,C(prov_cat)[T.34],1.2585848518761045,0.22977791362455807,4.316281276905338e-08,3.520436022179458,***
0,C(prov_cat)[T.35],0.5009610334696246,0.21380101834989293,0.019123329324320818,1.6503065086347006,*
0,C(prov_cat)[T.Other],0.23181448961786952,0.2137243104564647,0.27807998406921786,1.260885799724332,
0,head_age,0.005994672440994018,0.003728242382220474,0.10785523026795922,1.0060126764478936,
0,head_female,0.168280267423958,0.12331966030253094,0.17238324454509235,1.1832681957084576,
0,head_edu_lvl,0.0006742217836856609,0.0017292797170396527,0.696620918586103,1.0006744491222819,
0,urban,0.07245854518956431,0.09019500631928835,0.42176998750386074,1.075148235100044,
0,n_members,0.3612071631129453,0.029394817475065727,1.0491245056991944e-34,1.4350607217331306,***
0,log_exp_pcm,0.013628919105597612,0.06170445217528778,0.825190417074217,1.013722216187903,
1,Intercept,-2.6087083497461063,1.1520070065925962,0.02354399393561705,0.07362958604265715,*
1,C(ethnic)[T.Batak],0.5719753121811902,0.21616881830451032,0.008145803829671226,1.771763382916264,**
1,C(ethnic)[T.Minang],0.5285861019420264,0.2582418076350422,0.04067134737770792,1.6965318889010461,*
1,C(prov_cat)[T.13],-0.37612385735246345,0.34094201660716633,0.2699446197153169,0.6865172975613787,
1,C(prov_cat)[T.32],0.4801203366356519,0.24158074434681934,0.046876820217637546,1.6162688868509965,*
1,C(prov_cat)[T.33],-0.34206538558551475,0.23868033830866303,0.15181418649602635,0.7103017596943267,
1,C(prov_cat)[T.34],0.12083569831889092,0.2693181228468731,0.6536677569806115,1.1284394926297048,
1,C(prov_cat)[T.35],-0.13936309461739543,0.2287391906446262,0.54234789938248,0.8699121107027009,
1,C(prov_cat)[T.Other],0.9807572548617417,0.19911406073565374,8.409964482837977e-07,2.6664746785115203,***
1,head_age,-0.02144583656916937,0.00526450267031803,4.627842146685951e-05,0.9787824902511665,***
1,head_female,-1.4096155296834778,0.2974915882965257,2.1547878883706864e-06,0.2442371670454162,***
1,head_edu_lvl,0.00373335555969088,0.0019472425915265038,0.055205872144255784,1.0037403332122088,
1,urban,0.5160458873334012,0.10961829082051,2.5057384681415902e-06,1.6753898548065687,***
1,n_members,-0.26807449520762716,0.04798186313017707,2.3103054981693778e-08,0.764850801261284,***
1,log_exp_pcm,0.15588973794935634,0.07661671333892763,0.04188407583903139,1.16869733302074,*
2,Intercept,-11.286570973666906,1.0494491924964657,5.628220899251002e-27,1.254020125723611e-05,***
2,C(ethnic)[T.Batak],-0.512921746121282,0.2299345639579072,0.025699072145602724,0.5987436437850068,*
2,C(ethnic)[T.Minang],-0.7768216762549959,0.3450526933425219,0.024365708621739524,0.4598652918203241,*
2,C(prov_cat)[T.13],0.4279510952294147,0.3936792953037663,0.27701244873060626,1.5341110537838634,
2,C(prov_cat)[T.32],0.22682557381040583,0.25329246704135633,0.3705152890553153,1.2546110118354985,
2,C(prov_cat)[T.33],0.16100690685116403,0.21222409777245688,0.44805322783284496,1.1746930822161348,
2,C(prov_cat)[T.34],0.329426820066938,0.24499692572673912,0.17874922912531888,1.3901710818923878,
2,C(prov_cat)[T.35],0.3796481307449586,0.2116956823194254,0.07291420020720805,1.461770146958635,
2,C(prov_cat)[T.Other],0.4620250286996554,0.20833159523906125,0.026572658008849438,1.5872850304087276,*
2,head_age,0.07415217155135875,0.00396210109745305,3.710648950753228e-78,1.076970677326325,***
2,head_female,-0.5578998194712829,0.13241510450200245,2.517063455004038e-05,0.572409966617435,***
2,head_edu_lvl,-0.0035247948228458834,0.001986937523169981,0.07606584288080548,0.9964814099740728,
2,urban,0.033863607857246215,0.09723539651164924,0.7276417750146967,1.0344435071394025,
2,n_members,0.9848953861535822,0.030906325549117607,7.626766995807481e-223,2.677531762872389,***
2,log_exp_pcm,0.19104659690200562,0.06806969500601356,0.00500623678834777,1.2105158570559083,**
3,Intercept,-11.319383840535426,1.0700895164769622,3.770045475238513e-26,1.2135398984126099e-05,***
3,C(ethnic)[T.Batak],-0.9127064205734983,0.24986752905834417,0.0002594354570596535,0.40143629705042744,***
3,C(ethnic)[T.Minang],-0.7522754378381596,0.365280245032564,0.03945140240955215,0.47129293395306593,*
