outcome_cluster,variable,coef,se,p_value,odds_ratio,sig
0,Intercept,2.5592782443682642,0.8225190295067594,0.0018613159168994215,12.926484185069379,**
0,C(ethnic)[T.Batak],-0.4939628566169745,0.2036187651709361,0.01526963133184608,0.6102034476901383,*
0,C(ethnic)[T.Minang],-0.06924061950229161,0.2949802496054066,0.8144185501778929,0.9331021304935541,
0,C(prov_cat)[T.13],0.34250870799231153,0.33442407845846056,0.30575272719398705,1.4084766186123931,
0,C(prov_cat)[T.32],0.28187038049107016,0.2083540945217461,0.1761057889307991,1.3256068843370246,
0,C(prov_cat)[T.33],0.3742267891945282,0.17725063450929784,0.034747733716525384,1.4538668343593817,*
0,C(prov_cat)[T.34],0.8774575258493891,0.1983720593079057,9.720825583511665e-06,2.4047778418728405,***
0,C(prov_cat)[T.35],0.14000280677301766,0.1792948629010052,0.43488936730397,1.1502770274192198,
0,C(prov_cat)[T.Other],-0.2869690761183702,0.1789055564900125,0.10870843014284362,0.7505349379317882,
0,head_age,-0.03129572779633763,0.0030541074978350366,1.2195454705146008e-24,0.9691889145897273,***
0,head_female,0.4765023228760012,0.10155424483666024,2.704194330216827e-06,1.6104317695317951,***
0,head_edu_lvl,-0.0003201495516416283,0.0015811360202021383,0.8395409334886251,0.9996799016907575,
0,urban,0.02073194376470136,0.07845919531367394,0.7915961100950523,1.0209483433852036,
0,n_members,-0.19278156648759112,0.017914982758657064,5.26461110812003e-27,0.8246620883034058,***
0,log_exp_pcm,-0.03484312035542925,0.054646873266645586,0.5237308314188494,0.965756911975051,
1,Intercept,5.747210116403721,1.5191987522028412,0.0001549161162496428,313.3153265238705,***
1,C(ethnic)[T.Batak],0.8126710354936564,0.2940050933138404,0.0057073166979518435,2.253920254611375,**
1,C(ethnic)[T.Minang],1.1690224657703527,0.3794376795317403,0.0020635235049707695,3.218844569360036,**
1,C(prov_cat)[T.13],-0.8461040677635256,0.4754570330452327,0.07514808344967396,0.42908335949045595,
1,C(prov_cat)[T.32],-0.01471019448678804,0.32676612605405575,0.9640933591186084,0.9853974718467013,
1,C(prov_cat)[T.33],-1.0806650543267347,0.31634357870624236,0.0006352214529279721,0.33936975125570806,***
1,C(prov_cat)[T.34],-0.4652372759753232,0.34934767331715877,0.18294845789513237,0.627986081500492,
1,C(prov_cat)[T.35],-0.6062592965610465,0.29989454331874116,0.043220282061465755,0.5453871898004806,*
1,C(prov_cat)[T.Other],0.2106634316574362,0.2695765079103292,0.43453161490712433,1.2344967925933483,
1,head_age,-0.08976011488479703,0.006968097796719276,5.715280407819089e-38,0.9141504500570223,***
1,head_female,-1.3225534265471512,0.4132545918452521,0.0013726760230395039,0.2664540617127429,**
1,head_edu_lvl,0.0031550401167372865,0.0026206653378211433,0.22862511706623767,1.0031600224942954,
1,urban,0.42096431137666357,0.14226714602346066,0.003086684849302106,1.5234299083223855,**
1,n_members,-1.4132736067027878,0.06854511701372173,1.8862889819734858e-94,0.24334536081979305,***
1,log_exp_pcm,0.12471959750894966,0.10043568193486471,0.2143156258237322,1.1328307599609073,
2,Intercept,9.150286802913483,0.9992293007811441,5.3190119289665715e-20,9417.14085492141,***
2,C(ethnic)[T.Batak],0.22128742871176313,0.2196262644942285,0.31366401303863334,1.2476819986597782,
2,C(ethnic)[T.Minang],0.6060403435249903,0.3256536026556431,0.0627446151167583,1.8331583316032065,
2,C(prov_cat)[T.13],-0.5314488112524427,0.3743058711094511,0.15565865209666138,0.5877528096336332,
2,C(prov_cat)[T.32],-0.5501726768544104,0.24110249075118897,0.022495023631078765,0.5768501931031241,*
2,C(prov_cat)[T.33],-0.6253478196753843,0.20446621388810252,0.0022249200245242754,0.5350752864364929,**
2,C(prov_cat)[T.34],-0.6574828057742816,0.23701295163275862,0.005536530300985097,0.5181539885151993,**
2,C(prov_cat)[T.35],-0.5729567755277979,0.20504657144084154,0.0052016014364863515,0.5638557765465612,**
2,C(prov_cat)[T.Other],-0.7962729858012907,0.1991809215492843,6.395088608989934e-05,0.45100674415927866,***
2,head_age,-0.054139717828270886,0.003845488429234637,5.130034090565729e-45,0.9472997425924581,***
2,head_female,0.38037388053964166,0.13763898282396025,0.005717420643019547,1.4628314114023082,**
2,head_edu_lvl,0.00018749031833470713,0.0018913774480352988,0.9210358622225435,1.000187507895743,
2,urban,-0.044359667766435386,0.09481020391274497,0.6398713905727684,0.9566098338693745,
2,n_members,-1.16377386752493,0.036594227278021266,6.051361429022404e-222,0.3123053551065331,***
2,log_exp_pcm,-0.11098476548435247,0.06488032995085634,0.08715363206563616,0.894952382991259,
3,Intercept,-3.4514823892789686,0.8518051469896717,5.078983857656797e-05,0.03169861184998648,***
3,C(ethnic)[T.Batak],-0.3588029013937942,0.20255318826843705,0.07649405790034042,0.6985120135289008,
3,C(ethnic)[T.Minang],0.20055236723179037,0.29047547359700465,0.48992514513415264,1.2220776073857367,
3,C(prov_cat)[T.13],0.02018014555201681,0.3306427772664788,0.9513328677943975,1.0203851413153184,
3,C(prov_cat)[T.32],0.4337161569316343,0.21826988307713865,0.046915340556833295,1.5429808415375323,*
3,C(prov_cat)[T.33],0.444320464536904,0.18302071259429167,0.015194659033552927,1.5594301476157542,*
3,C(prov_cat)[T.34],0.8943085084386099,0.20829435167090357,1.7589083481131154e-05,2.4456440623909166,***
3,C(prov_cat)[T.35],0.1781632140969069,0.18615815247595507,0.3385405159720445,1.1950203494858147,
3,C(prov_cat)[T.Other],-0.17854346183129124,0.18445320533809234,0.33306397550349665,0.836487700800018,
3,head_age,0.028233899183719012,0.00314611069579295,2.853585327302304e-19,1.0286362534659061,***
3,head_female,0.07268329137988488,0.10411823589962897,0.48512456271275306,1.0753898977252727,
3,head_edu_lvl,-0.001920615751999353,0.001765081448416781,0.27654330432275775,0.9980812274502174,
3,urban,-0.07828816028732308,0.0838532310844345,0.3504931345992345,0.9246979269277699,
3,n_members,0.2522676207276194,0.015578422917940824,5.613976577618102e-59,1.2869404031301548,***
3,log_exp_pcm,-0.04133218209538044,0.05735350968418943,0.4711208551043663,0.9595103448464884,
