hhid14,pidlink,ar02b,ar07,ar09,ar15,ar15d,ar16,ar17,out_migrated,mg01c,kab_bps,prov_bps,urban_rural,amount_given,amount_received,log_amount_received,out_mig_bin,is_male,is_female,male_outmig,female_outmig,ethnic_label
0500200,050020001,1.0,1.0,69.0,1.0,9.0,2.0,7.0,0.0,,71.0,16.0,1.0,100000.0,0.0,0.0,False,True,False,False,False,Java
0500200,050020002,2.0,3.0,65.0,1.0,1.0,2.0,7.0,0.0,,71.0,16.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0500200,050020004,3.0,3.0,43.0,1.0,1.0,3.0,7.0,0.0,,71.0,16.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0500200,050020005,3.0,1.0,42.0,1.0,9.0,6.0,7.0,0.0,,3.0,13.0,2.0,3000000.0,0.0,0.0,False,True,False,False,False,Java
0500200,050020006,3.0,3.0,40.0,1.0,1.0,5.0,7.0,0.0,,71.0,16.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0500200,050020009,3.0,3.0,29.0,1.0,1.0,5.0,7.0,1.0,7.0,71.0,16.0,1.0,1000000.0,0.0,0.0,True,False,True,False,True,Java
0500200,050020010,3.0,1.0,24.0,1.0,9.0,2.0,1.0,0.0,71.0,71.0,16.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0500200,050020012,5.0,1.0,39.0,1.0,1.0,5.0,7.0,0.0,,71.0,16.0,1.0,200000.0,0.0,0.0,False,True,False,False,False,Java
0500200,050020013,10.0,3.0,17.0,1.0,1.0,6.0,2.0,0.0,71.0,71.0,16.0,1.0,0.0,1000000.0,13.815511557963774,False,False,True,False,False,Java
0500231,050023104,3.0,1.0,15.0,1.0,1.0,74.0,0.0,0.0,71.0,71.0,16.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0500242,050024202,2.0,3.0,36.0,1.0,9.0,5.0,7.0,0.0,,3.0,13.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Minang
0500341,050034101,1.0,1.0,59.0,1.0,1.0,5.0,7.0,1.0,9.0,71.0,21.0,1.0,0.0,0.0,0.0,True,True,False,True,False,Java
0501900,050190001,2.0,3.0,55.0,1.0,1.0,6.0,7.0,1.0,3.0,7.0,16.0,1.0,700000.0,0.0,0.0,True,False,True,False,True,Batak
