subethnic_modal,nelm_d1_deployment,nelm_d2_remittance,nelm_d3_extended_ratio,n_HH
Diaspora-Christian-Batak,0.143,3.18,0.256,397
Diaspora-Muslim-Batak,0.172,3.549,0.222,250
