hhid14,ethnic_label,n_adults,n_outmig_adults,nelm_d1_deployment,n_adults_in_ind,n_outmig_in_ind,n_male_out,n_female_out,D1_male,D1_female,D1_total_computed
0040200,Batak,8,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0040241,Batak,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0040252,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0040300,Batak,10,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0040321,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0040351,Batak,2,1,0.5,2.0,1.0,0.0,1.0,0.0,0.5,0.5
0040400,Batak,9,2,0.2222222222222222,9.0,2.0,0.0,2.0,0.0,0.2222222222222222,0.2222222222222222
0040441,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0040451,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0040500,Batak,6,1,0.1666666666666666,6.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
0040551,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0040600,Batak,7,1,0.1428571428571428,7.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285
0040651,Batak,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0040652,Batak,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0040653,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0040700,Batak,10,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0040731,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0040743,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0040751,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0040900,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0041000,Batak,10,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0041021,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0041031,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0041041,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0041042,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0041051,Batak,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0041052,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0041053,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0041111,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0041300,Batak,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0041321,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0041341,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0041351,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0041400,Batak,11,2,0.1818181818181818,11.0,2.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
